Negation type	Category	Sentence
without	Salient absence	several men without shirts wrestle on the grass as a crowd watches
without	Other	a man lounges in his room without eating for days .
miss	Salient absence	a small female child , missing her front teeth , wearing pink shawl , blue jumper dress , her dark hair in two ponytails , smiling , making craft products with an older female who wears a white baseball cap , pink shirt and white jacket , inside a school gymnasium .
no	Negation of action/behavior	a boy selling lemonade for $ 1 rides his bike with no hands as he advertises his product to a long line of people .
not	Negation of attitude	a blond girl sits at a bar next to a few other men who are not paying attention to her and she is sad .
no	Salient absence	a man with no shirt holds a light pole as he stands on part of the stage .
no	Salient absence	a man wearing no shirt and a hat jumps in the air on a red bicycle .
not	Other	this dude is asian , and works on computers all the time , not stereotyping .
n't	(Preventing) future events	children holding onto a tether so that they do n't get lost at a festival .
miss	False positive	a large group of people are gathered in two slightly misshapen circles , in front a stage where a band is performing .
lack	False positive	a lack dog leaps in front of a tree branch in the snow .
no	Salient absence	a man with a hat , and no shoes lays on the ground after he wets himself .
without	Negation of action/behavior	two men , one with a black shirt and the other with a white shirt , are kicking each other without making contact .
miss	Salient absence	a chef standing behind a large pan of pepperoni pizza with one-fourths of the pizza missing .
no	Salient absence	a man with no shirt is leaning on a half-door .
n't	Negation of attitude	children eating at a outdoor cafe & someone does n't like the menu .
lack	False positive	a black dog about to jump into a lack to get a small ball .
not	Outside the frame	inside a vehicle , a blond woman with a single-lens reflex ( slr ) camera is gesturing at someone ( not visible ) behind her seat .
no	Quotes and idioms	a man skateboarding against a construction wall reading no bikes .
no	Salient absence	a man in a hot spring tub smiling with no shirt .
without	Salient absence	a young man , without apparent protective gear , is on a bicycle jumping over small hills of sand or gravel , with a long bridge and tall buildings in the background .
not	Other	workers making dangerous icy steps not so dangerous .
no	Salient absence	a well tanned man , with sunglasses and no shirt on , is holding wire and smiling .
no	Quotes and idioms	a man with a white no sleeve shirt and red shorts about to hit a volleyball .
n't	Other	this man is fishing around a bunch of boats , he has n't caught one , yet .
no	Salient absence	three children wearing swim trunks and no shirts play in the surf .
no	Quotes and idioms	a woman in a short dress standing by a no parking sign .
not	(Preventing) future events	this guy is trying to not get booted in the rear by this bull , looks like he is doing pretty good .
not	Other	middle-aged women ( maroon shirt ) holding child ( white shirt ) and a young women ( green shirt ) in the not too far distance .
no	Salient absence	a biker is wearing all black gear with buildings and a tree with no leaves nearby .
no	Salient absence	women playing a game similar to hockey , but with no ice .
n't	(Preventing) future events	here is a picture of locals hanging out in front of a store , talking on the phone and making sure their graffiti sign does n't get tagged .
not	Other	a bicycle rider flies over a hill while a competitor is not far behind .
no	Salient absence	a kid sitting with no shirt or shoes on examining something he has found .
no	Salient absence	a man with no shirt on is tying a yellow transparent bag closed .
not	Outside the frame	a boy raises his arms amongst a crowd of people who are not in focus .
no	Salient absence	a boy with no shirt is standing in water .
not	Negation of action/behavior	two young women wearing white tennis shirts are touching hands but not making eye-contact while a man in the behind them walks by .
without	Salient absence	two men , one with a hat and one without , holds up bottles and a beaker while a woman stands beside them with a wineglass filled with a peach liquid .
without	Salient absence	girl scaling rock wall without ropes .
no	Salient absence	young man with no shirt skateboarding off a ramp outdoors .
without	Salient absence	a man is shoveling snow without a hat or gloves .
no	Negation of action/behavior	a young boy at a skate park is flying high on his bike while using no hands !
no	Salient absence	two men wearing shorts and no shirts playing beach volleyball .
no	Salient absence	a girl wearing a blue tank top and kahki shorts has two tattoos and has no shoes on , is looking in a toy isle at transformers .
without	Salient absence	two ladies dressed similarly without shoes on , doing a dance on a stage .
no	Salient absence	a skinny young man running with no shirt on
not	Not a description/Meta	there is not an image here .
no	Salient absence	a man in shorts with no shirt is standing in front of a group of people on the beach .
miss	Salient absence	four boys look at the basketball hoop , which is missing the netting .
without	Salient absence	man without shirt standing on top of a drum that people are holding in the air .
not	Negation of action/behavior	a man and a woman are smiling for the camera but the woman is not looking at the camera .
no	Salient absence	man running with no shirt wearing number 129 on his shorts .
no	Quotes and idioms	three people standing in the snow behind a no skiing sign .
neither	Negation of action/behavior	a man and woman pose for a picture together , with neither smiling .
without	Salient absence	musician playing guitar without the drummer .
no	Salient absence	a man wearing black pants and no shoes appears to float in a laundry room .
no	Salient absence	a black man with no shirt is carrying a torch in front of bedazzled elephants .
no	Salient absence	a brown furry dog is biting a no hair brown dog .
no	Salient absence	a group of people on a cliff one with no shirt and khaki shorts , one in a black ball cap , white shirt and black shorts and another in a striped shirt , black shorts holding a video camera .
nowhere	Quotes and idioms	a group of six people have jumped into the air in the middle of nowhere and one is catching a ball .
no	Salient absence	a baby is lifted into the air by a man wearing no shirt .
miss	Quotes and idioms	man smoking a cigarette in a subway station near a missing poster .
not	Other	a man is fishing off a beach into a large body of water while a young boy carries a net not too far away .
no	Quotes and idioms	a man in a blue uniform lean against a wall with a no smoking sign .
without	Not a description/Meta	what 's a trip to the park without visiting the snack bar ?
n't	Negation of attitude	tourist wife upset with husband who ca n't makeup his mind .
