flickr_id,description,negations
4483752409,Toeristen lopen achter elkaar door de mist op een plein en 1 maakt een foto.,mist
6321643151,Mensen die meedoen met een wandelwedstrijd waarvan een persoon zonder benen.,zonder
3897459678,Hier weet ik geen goede omschrijving voor,geen
4483752409,Drie vrouwen steken in de mist de straat over.,mist
135980645,Vrouw snijdt broodje zonder te kijken(!),zonder
3237799755,Publiek kijkt naar een voorstelling op straat behalve 1 meisje,behalve
3410899419,De kinderen dragen geen kleding,geen
3503021545,"Op de stoep staat een zestal mensen te wachten, zonder contact met elkaar te hebben.",zonder
4483752409,Drie vrouwen lopen in de stad door de mist.,mist
4814019484,Een groep mensen geen idee wat ze aan het doen zijn.,geen
217583047,De man met de bruine pet op zit in zijn witte kano te roeien in het mistige water.,mistige
3288839246,"Een persoon in roze en zwart gekleed klimt tegen een rotswand op, met een veiligheidstouw maar  zonder zichtbare hulpmiddelen.",zonder
4686363111,"Een man in legerkleding doet een extreme push up aan de waterkant, zonder dat zijn voeten de grond raken.",zonder
416933689,Een man buigt over een  driewieler waarvan een wiel ontbreekt op een parkeer plaats met een tweede man met witte pet.,ontbreekt
